personaId,leaning,cell,episodes,k,n,meanRound1Coop,cpLo,cpHi,interior
p01,cooperative-leaning,os-community,20,40,40,1.0,0.9119,1.0,0
p01,cooperative-leaning,os-swap,20,1,40,0.025,0.0006,0.1316,0
p01,cooperative-leaning,rep-d10-s2a,6,12,12,1.0,0.7354,1.0,0
p01,cooperative-leaning,rep-d10-s2p,6,12,12,1.0,0.7354,1.0,0
p01,cooperative-leaning,rep-d90-s2a,6,12,12,1.0,0.7354,1.0,0
p01,cooperative-leaning,rep-d90-s2p,6,12,12,1.0,0.7354,1.0,0
p02,cooperative-leaning,os-community,20,5,40,0.125,0.0419,0.268,0
p02,cooperative-leaning,os-swap,20,4,40,0.1,0.0279,0.2366,0
p02,cooperative-leaning,rep-d10-s2a,6,0,12,0.0,0.0,0.2646,0
p02,cooperative-leaning,rep-d10-s2p,6,12,12,1.0,0.7354,1.0,0
p02,cooperative-leaning,rep-d90-s2a,6,0,12,0.0,0.0,0.2646,0
p02,cooperative-leaning,rep-d90-s2p,6,12,12,1.0,0.7354,1.0,0
p03,cooperative-leaning,os-community,20,40,40,1.0,0.9119,1.0,0
p03,cooperative-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p03,cooperative-leaning,rep-d10-s2a,6,12,12,1.0,0.7354,1.0,0
p03,cooperative-leaning,rep-d10-s2p,6,12,12,1.0,0.7354,1.0,0
p03,cooperative-leaning,rep-d90-s2a,6,12,12,1.0,0.7354,1.0,0
p03,cooperative-leaning,rep-d90-s2p,6,12,12,1.0,0.7354,1.0,0
p04,defect-leaning,os-community,20,0,40,0.0,0.0,0.0881,0
p04,defect-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p04,defect-leaning,rep-d10-s2a,6,0,12,0.0,0.0,0.2646,0
p04,defect-leaning,rep-d10-s2p,6,7,12,0.5833,0.2767,0.8483,1
p04,defect-leaning,rep-d90-s2a,6,0,12,0.0,0.0,0.2646,0
p04,defect-leaning,rep-d90-s2p,6,5,12,0.4167,0.1517,0.7233,1
p05,cooperative-leaning,os-community,20,39,40,0.975,0.8684,0.9994,0
p05,cooperative-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p05,cooperative-leaning,rep-d10-s2a,6,6,12,0.5,0.2109,0.7891,1
p05,cooperative-leaning,rep-d10-s2p,6,0,12,0.0,0.0,0.2646,0
p05,cooperative-leaning,rep-d90-s2a,6,7,12,0.5833,0.2767,0.8483,1
p05,cooperative-leaning,rep-d90-s2p,6,7,12,0.5833,0.2767,0.8483,1
p06,defect-leaning,os-community,20,0,40,0.0,0.0,0.0881,0
p06,defect-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p06,defect-leaning,rep-d10-s2a,6,0,12,0.0,0.0,0.2646,0
p06,defect-leaning,rep-d10-s2p,6,0,12,0.0,0.0,0.2646,0
p06,defect-leaning,rep-d90-s2a,6,0,12,0.0,0.0,0.2646,0
p06,defect-leaning,rep-d90-s2p,6,0,12,0.0,0.0,0.2646,0
p07,defect-leaning,os-community,20,0,40,0.0,0.0,0.0881,0
p07,defect-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p07,defect-leaning,rep-d10-s2a,6,2,12,0.1667,0.0209,0.4841,0
p07,defect-leaning,rep-d10-s2p,6,0,12,0.0,0.0,0.2646,0
p07,defect-leaning,rep-d90-s2a,6,7,12,0.5833,0.2767,0.8483,1
p07,defect-leaning,rep-d90-s2p,6,0,12,0.0,0.0,0.2646,0
p08,defect-leaning,os-community,20,0,40,0.0,0.0,0.0881,0
p08,defect-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p08,defect-leaning,rep-d10-s2a,6,0,12,0.0,0.0,0.2646,0
p08,defect-leaning,rep-d10-s2p,6,0,12,0.0,0.0,0.2646,0
p08,defect-leaning,rep-d90-s2a,6,0,12,0.0,0.0,0.2646,0
p08,defect-leaning,rep-d90-s2p,6,0,12,0.0,0.0,0.2646,0
p09,cooperative-leaning,os-community,20,40,40,1.0,0.9119,1.0,0
p09,cooperative-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p09,cooperative-leaning,rep-d10-s2a,6,12,12,1.0,0.7354,1.0,0
p09,cooperative-leaning,rep-d10-s2p,6,12,12,1.0,0.7354,1.0,0
p09,cooperative-leaning,rep-d90-s2a,6,12,12,1.0,0.7354,1.0,0
p09,cooperative-leaning,rep-d90-s2p,6,12,12,1.0,0.7354,1.0,0
p10,cooperative-leaning,os-community,20,0,40,0.0,0.0,0.0881,0
p10,cooperative-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p10,cooperative-leaning,rep-d10-s2a,6,1,12,0.0833,0.0021,0.3848,0
p10,cooperative-leaning,rep-d10-s2p,6,12,12,1.0,0.7354,1.0,0
p10,cooperative-leaning,rep-d90-s2a,6,2,12,0.1667,0.0209,0.4841,0
p10,cooperative-leaning,rep-d90-s2p,6,12,12,1.0,0.7354,1.0,0
p11,cooperative-leaning,os-community,20,40,40,1.0,0.9119,1.0,0
p11,cooperative-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p11,cooperative-leaning,rep-d10-s2a,6,12,12,1.0,0.7354,1.0,0
p11,cooperative-leaning,rep-d10-s2p,6,12,12,1.0,0.7354,1.0,0
p11,cooperative-leaning,rep-d90-s2a,6,12,12,1.0,0.7354,1.0,0
p11,cooperative-leaning,rep-d90-s2p,6,12,12,1.0,0.7354,1.0,0
p12,defect-leaning,os-community,20,0,40,0.0,0.0,0.0881,0
p12,defect-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p12,defect-leaning,rep-d10-s2a,6,0,12,0.0,0.0,0.2646,0
p12,defect-leaning,rep-d10-s2p,6,2,12,0.1667,0.0209,0.4841,0
p12,defect-leaning,rep-d90-s2a,6,0,12,0.0,0.0,0.2646,0
p12,defect-leaning,rep-d90-s2p,6,3,12,0.25,0.0549,0.5719,1
p13,cooperative-leaning,os-community,20,16,40,0.4,0.2486,0.5667,1
p13,cooperative-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p13,cooperative-leaning,rep-d10-s2a,6,4,12,0.3333,0.0992,0.6511,1
p13,cooperative-leaning,rep-d10-s2p,6,1,12,0.0833,0.0021,0.3848,0
p13,cooperative-leaning,rep-d90-s2a,6,9,12,0.75,0.4281,0.9451,1
p13,cooperative-leaning,rep-d90-s2p,6,4,12,0.3333,0.0992,0.6511,1
p14,defect-leaning,os-community,20,0,40,0.0,0.0,0.0881,0
p14,defect-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p14,defect-leaning,rep-d10-s2a,6,0,12,0.0,0.0,0.2646,0
p14,defect-leaning,rep-d10-s2p,6,0,12,0.0,0.0,0.2646,0
p14,defect-leaning,rep-d90-s2a,6,0,12,0.0,0.0,0.2646,0
p14,defect-leaning,rep-d90-s2p,6,0,12,0.0,0.0,0.2646,0
p15,defect-leaning,os-community,20,6,40,0.15,0.0571,0.2984,1
p15,defect-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p15,defect-leaning,rep-d10-s2a,6,6,12,0.5,0.2109,0.7891,1
p15,defect-leaning,rep-d10-s2p,6,0,12,0.0,0.0,0.2646,0
p15,defect-leaning,rep-d90-s2a,6,10,12,0.8333,0.5159,0.9791,0
p15,defect-leaning,rep-d90-s2p,6,6,12,0.5,0.2109,0.7891,1
p16,defect-leaning,os-community,20,0,40,0.0,0.0,0.0881,0
p16,defect-leaning,os-swap,20,0,40,0.0,0.0,0.0881,0
p16,defect-leaning,rep-d10-s2a,6,0,12,0.0,0.0,0.2646,0
p16,defect-leaning,rep-d10-s2p,6,0,12,0.0,0.0,0.2646,0
p16,defect-leaning,rep-d90-s2a,6,0,12,0.0,0.0,0.2646,0
p16,defect-leaning,rep-d90-s2p,6,0,12,0.0,0.0,0.2646,0
