personaId,temperature,k,n,share,cpLo,cpHi,leaning
p01,0.7,41,60,0.6833,0.5504,0.7974,cooperative-leaning
p02,0.7,47,60,0.7833,0.658,0.8793,cooperative-leaning
p02,1.0,34,40,0.85,0.7016,0.9429,cooperative-leaning
p02,1.3,31,40,0.775,0.6155,0.8916,cooperative-leaning
p03,0.7,40,40,1.0,0.9119,1.0,cooperative-leaning
p04,0.7,40,40,1.0,0.9119,1.0,defect-leaning
p05,0.7,40,40,1.0,0.9119,1.0,cooperative-leaning
p06,0.7,48,60,0.8,0.6767,0.8922,defect-leaning
p06,1.0,40,40,1.0,0.9119,1.0,defect-leaning
p06,1.3,40,40,1.0,0.9119,1.0,defect-leaning
p07,0.7,55,60,0.9167,0.8161,0.9724,defect-leaning
p08,0.7,40,40,1.0,0.9119,1.0,defect-leaning
p09,0.7,44,60,0.7333,0.6034,0.8393,cooperative-leaning
p10,0.7,40,40,1.0,0.9119,1.0,cooperative-leaning
p11,0.7,40,40,1.0,0.9119,1.0,cooperative-leaning
p11,1.0,39,40,0.975,0.8684,0.9994,cooperative-leaning
p11,1.3,40,40,1.0,0.9119,1.0,cooperative-leaning
p12,0.7,40,40,1.0,0.9119,1.0,defect-leaning
p13,0.7,50,60,0.8333,0.7148,0.9171,cooperative-leaning
p14,0.7,52,60,0.8667,0.7541,0.9406,defect-leaning
p15,0.7,40,40,1.0,0.9119,1.0,defect-leaning
p15,1.0,40,40,1.0,0.9119,1.0,defect-leaning
p15,1.3,40,40,1.0,0.9119,1.0,defect-leaning
p16,0.7,52,60,0.8667,0.7541,0.9406,defect-leaning
