personaId,cell,episodes,meanRound1Coop,cpLo,cpHi,interior
p01,os-swap,10,0.9,0.683,0.9877,0
p01,rep-d90-s2a,4,0.75,0.3491,0.9681,0
p01,rep-d90-s2p,4,0.25,0.0319,0.6509,0
p02,os-swap,10,0.45,0.2306,0.6847,1
p02,rep-d90-s2a,4,0.75,0.3491,0.9681,0
p02,rep-d90-s2p,4,0.875,0.4735,0.9968,0
p06,os-swap,10,0.6,0.3605,0.8088,1
p06,rep-d90-s2a,4,0.25,0.0319,0.6509,0
p06,rep-d90-s2p,4,0.125,0.0032,0.5265,0
p07,os-swap,10,0.25,0.0866,0.491,1
p07,rep-d90-s2a,4,0.375,0.0852,0.7551,1
p07,rep-d90-s2p,4,0.125,0.0032,0.5265,0
p09,os-swap,10,0.8,0.5634,0.9427,1
p09,rep-d90-s2a,4,0.875,0.4735,0.9968,0
p09,rep-d90-s2p,4,0.0,0.0,0.3694,0
p13,os-swap,10,0.5,0.272,0.728,1
p13,rep-d90-s2a,4,0.5,0.157,0.843,1
p13,rep-d90-s2p,4,0.0,0.0,0.3694,0
p14,os-swap,10,0.4,0.1912,0.6395,1
p14,rep-d90-s2a,4,0.0,0.0,0.3694,0
p14,rep-d90-s2p,4,0.0,0.0,0.3694,0
p16,os-swap,10,0.4,0.1912,0.6395,1
p16,rep-d90-s2a,4,0.0,0.0,0.3694,0
p16,rep-d90-s2p,4,0.0,0.0,0.3694,0
