cell,round,coopSeats,seats,coopRate
rep-d10-s2a,1,4,12,0.3333
rep-d90-s2a,1,9,12,0.75
rep-d90-s2a,2,5,10,0.5
rep-d90-s2a,3,4,10,0.4
rep-d90-s2a,4,4,10,0.4
rep-d90-s2a,5,4,8,0.5
rep-d90-s2a,6,4,8,0.5
rep-d90-s2a,7,4,8,0.5
rep-d90-s2a,8,4,6,0.6667
rep-d90-s2a,9,4,6,0.6667
rep-d90-s2a,10,2,4,0.5
rep-d90-s2a,11,2,4,0.5
rep-d90-s2a,12,2,4,0.5
rep-d90-s2a,13,2,2,1.0
rep-d90-s2a,14,2,2,1.0
rep-d90-s2a,15,2,2,1.0
rep-d90-s2a,16,2,2,1.0
rep-d90-s2a,17,2,2,1.0
rep-d90-s2a,18,2,2,1.0
rep-d90-s2a,19,2,2,1.0
rep-d90-s2a,20,2,2,1.0
rep-d90-s2a,21,2,2,1.0
rep-d90-s2a,22,2,2,1.0
rep-d90-s2a,23,2,2,1.0
rep-d90-s2a,24,2,2,1.0
rep-d90-s2a,25,2,2,1.0
rep-d90-s2a,26,2,2,1.0
rep-d90-s2a,27,2,2,1.0
