iteration,T_max
1,-0.2233
2,-0.0699
3,-0.0699
4,-0.1549
5,0.0825
6,-0.2109
7,-0.1416
8,-0.2292
9,0.0007
10,-0.0771
11,-0.0699
12,-0.0699
13,0.0825
14,-0.2233
15,-0.0771
16,-0.0699
17,-0.1549
18,-0.1549
19,0.0007
20,-0.0771
21,-0.0771
22,-0.1549
23,-0.0771
24,-0.0771
25,-0.0771
26,-0.2292
27,-0.1549
28,0.0007
29,-0.0699
30,-0.2292
31,0.0007
32,-0.0771
33,-0.1549
34,-0.0699
35,-0.0699
36,-0.1416
37,-0.0771
38,-0.0771
39,-0.1416
40,-0.0771
41,-0.0771
42,0.0007
43,0.0825
44,-0.2292
45,-0.2233
46,0.0825
47,-0.2233
48,-0.0771
49,-0.0699
50,-0.2109
51,-0.0771
52,0.0007
53,-0.2109
54,-0.1549
55,-0.0771
56,-0.2233
57,-0.0699
58,0.0007
59,-0.0771
60,-0.1549
61,-0.2292
62,-0.0699
63,-0.2292
64,-0.1549
65,-0.0771
66,-0.2109
67,-0.2233
68,0.0007
69,-0.0699
70,-0.0771
71,-0.2292
72,0.0007
73,-0.1416
74,-0.0699
75,-0.1549
76,-0.1416
77,-0.1416
78,-0.2233
79,-0.0771
80,-0.0771
81,0.0825
82,-0.0771
83,-0.2109
84,-0.1549
85,-0.2109
86,-0.2233
87,-0.2292
88,-0.1416
89,-0.0771
90,-0.1549
91,-0.1549
92,-0.2109
93,-0.2292
94,-0.1549
95,-0.2783
96,-0.1416
97,-0.1549
98,-0.0699
99,-0.1416
100,-0.0699
101,-0.0699
102,-0.1416
103,0.0825
104,-0.2292
105,-0.1416
106,-0.2292
107,-0.2292
108,-0.2233
109,-0.2109
110,-0.0771
111,0.0007
112,-0.1416
113,-0.0771
114,-0.0699
115,-0.1549
116,-0.0771
117,-0.0771
118,-0.2109
119,-0.2109
120,-0.3033
121,-0.2109
122,-0.0699
123,-0.2109
124,-0.2292
125,-0.1416
126,-0.1416
127,-0.2292
128,0.0007
129,-0.2292
130,-0.0771
131,-0.2292
132,-0.2233
133,0.0007
134,-0.1549
135,-0.2109
136,0.0007
137,-0.0699
138,-0.0771
139,-0.1416
140,-0.0771
141,-0.0699
142,0.0007
143,-0.2292
144,0.0007
145,-0.0771
146,-0.0771
147,-0.0771
148,-0.1549
149,-0.2292
150,-0.2292
151,-0.3598
152,-0.2292
153,-0.1416
154,-0.2109
155,-0.2292
156,-0.1549
157,-0.0699
158,-0.2109
159,-0.0699
160,-0.2292
161,-0.2109
162,-0.0771
163,0.0007
164,-0.0771
165,-0.2233
166,0.0825
167,-0.1549
168,-0.0771
169,-0.2233
170,-0.0699
171,0.0825
172,-0.1549
173,-0.0771
174,-0.0771
175,-0.1549
176,-0.0699
177,-0.2233
178,-0.1416
179,-0.2109
180,-0.2109
181,-0.2925
182,-0.1549
183,0.0007
184,-0.0771
185,0.0825
186,-0.0699
187,-0.2292
188,-0.2292
189,-0.0699
190,-0.0771
191,-0.1549
192,-0.2109
193,-0.0771
194,-0.0699
195,-0.2783
196,-0.0771
197,-0.0771
198,-0.1549
199,-0.0699
200,0.0007
201,-0.0771
202,-0.0771
203,0.0825
204,-0.2292
205,-0.0699
206,-0.2783
207,-0.0771
208,-0.0699
209,-0.0771
210,-0.0771
211,-0.0699
212,-0.0699
213,-0.2292
214,-0.1549
215,0.0825
216,-0.0771
217,0.0825
218,-0.1549
219,0.0825
220,-0.1416
221,-0.2109
222,0.0007
223,-0.0771
224,-0.0771
225,-0.1549
226,-0.0771
227,-0.0699
228,-0.0699
229,-0.1416
230,-0.0771
231,-0.2292
232,0.0007
233,0.0007
234,-0.2233
235,0.0007
236,-0.3033
237,-0.0771
238,-0.1549
239,-0.1549
240,-0.1549
241,-0.0699
242,-0.0699
243,-0.2925
244,-0.2109
245,-0.2783
246,-0.1416
247,-0.1416
248,-0.1416
249,-0.1416
250,-0.2109
251,-0.1549
252,-0.1549
253,-0.2109
254,-0.0771
255,-0.2925
256,-0.1416
257,-0.3598
258,-0.2109
259,-0.0771
260,-0.0771
261,-0.0771
262,-0.1549
263,-0.2292
264,-0.2292
265,-0.2109
266,-0.2292
267,-0.2925
268,-0.2925
269,-0.2292
270,-0.2292
271,-0.0699
272,-0.2233
273,-0.0771
274,-0.2925
275,0.0825
276,-0.0771
277,-0.1416
278,0.0007
279,-0.3033
280,-0.2292
281,0.0007
282,-0.0771
283,-0.0771
284,0.0007
285,-0.0699
286,0.0007
287,-0.0699
288,-0.2292
289,-0.2233
290,-0.0771
291,-0.0699
292,-0.2233
293,-0.2292
294,-0.3743
295,0.0825
296,-0.1416
297,-0.0699
298,-0.0771
299,-0.2292
300,-0.2233
301,0.0825
302,-0.2925
303,-0.0699
304,0.0825
305,-0.0771
306,-0.2233
307,-0.1416
308,0.0007
309,-0.2292
310,-0.2783
311,0.0007
312,-0.0699
313,-0.0771
314,-0.2292
315,-0.3033
316,-0.0771
317,-0.0771
318,-0.2292
319,0.0007
320,-0.2109
321,-0.2292
322,-0.0699
323,-0.0771
324,-0.0699
325,-0.2925
326,-0.2109
327,-0.1416
328,0.0825
329,0.0007
330,-0.1416
331,-0.1416
332,-0.2233
333,-0.2109
334,-0.2925
335,-0.0771
336,-0.0771
337,-0.0771
338,-0.1416
339,-0.0699
340,-0.0699
341,-0.0771
342,-0.2292
343,-0.0699
344,0.0007
345,-0.2109
346,-0.1549
347,-0.1549
348,-0.2109
349,-0.3695
350,-0.2109
351,0.0007
352,-0.0771
353,-0.0699
354,0.0825
355,-0.0771
356,-0.2233
357,-0.2292
358,-0.0771
359,-0.2233
360,-0.0771
361,-0.2292
362,-0.2109
363,-0.2109
364,0.0825
365,-0.2292
366,0.0007
367,-0.2233
368,-0.0771
369,-0.0771
370,-0.1549
371,-0.0771
372,-0.0771
373,-0.0699
374,-0.0771
375,-0.0699
376,-0.1549
377,-0.2233
378,-0.1416
379,0.0825
380,-0.0699
