cell,personaId,leaning,meanRound1Coop
rep-d10-s2a,p01,cooperative-leaning,1.0
rep-d10-s2a,p02,cooperative-leaning,0.0
rep-d10-s2a,p03,cooperative-leaning,1.0
rep-d10-s2a,p04,defect-leaning,0.0
rep-d10-s2a,p05,cooperative-leaning,0.5
rep-d10-s2a,p06,defect-leaning,0.0
rep-d10-s2a,p07,defect-leaning,0.1667
rep-d10-s2a,p08,defect-leaning,0.0
rep-d10-s2a,p09,cooperative-leaning,1.0
rep-d10-s2a,p10,cooperative-leaning,0.0833
rep-d10-s2a,p11,cooperative-leaning,1.0
rep-d10-s2a,p12,defect-leaning,0.0
rep-d10-s2a,p13,cooperative-leaning,0.3333
rep-d10-s2a,p14,defect-leaning,0.0
rep-d10-s2a,p15,defect-leaning,0.5
rep-d10-s2a,p16,defect-leaning,0.0
rep-d10-s2p,p01,cooperative-leaning,1.0
rep-d10-s2p,p02,cooperative-leaning,1.0
rep-d10-s2p,p03,cooperative-leaning,1.0
rep-d10-s2p,p04,defect-leaning,0.5833
rep-d10-s2p,p05,cooperative-leaning,0.0
rep-d10-s2p,p06,defect-leaning,0.0
rep-d10-s2p,p07,defect-leaning,0.0
rep-d10-s2p,p08,defect-leaning,0.0
rep-d10-s2p,p09,cooperative-leaning,1.0
rep-d10-s2p,p10,cooperative-leaning,1.0
rep-d10-s2p,p11,cooperative-leaning,1.0
rep-d10-s2p,p12,defect-leaning,0.1667
rep-d10-s2p,p13,cooperative-leaning,0.0833
rep-d10-s2p,p14,defect-leaning,0.0
rep-d10-s2p,p15,defect-leaning,0.0
rep-d10-s2p,p16,defect-leaning,0.0
rep-d90-s2a,p01,cooperative-leaning,1.0
rep-d90-s2a,p02,cooperative-leaning,0.0
rep-d90-s2a,p03,cooperative-leaning,1.0
rep-d90-s2a,p04,defect-leaning,0.0
rep-d90-s2a,p05,cooperative-leaning,0.5833
rep-d90-s2a,p06,defect-leaning,0.0
rep-d90-s2a,p07,defect-leaning,0.5833
rep-d90-s2a,p08,defect-leaning,0.0
rep-d90-s2a,p09,cooperative-leaning,1.0
rep-d90-s2a,p10,cooperative-leaning,0.1667
rep-d90-s2a,p11,cooperative-leaning,1.0
rep-d90-s2a,p12,defect-leaning,0.0
rep-d90-s2a,p13,cooperative-leaning,0.75
rep-d90-s2a,p14,defect-leaning,0.0
rep-d90-s2a,p15,defect-leaning,0.8333
rep-d90-s2a,p16,defect-leaning,0.0
rep-d90-s2p,p01,cooperative-leaning,1.0
rep-d90-s2p,p02,cooperative-leaning,1.0
rep-d90-s2p,p03,cooperative-leaning,1.0
rep-d90-s2p,p04,defect-leaning,0.4167
rep-d90-s2p,p05,cooperative-leaning,0.5833
rep-d90-s2p,p06,defect-leaning,0.0
rep-d90-s2p,p07,defect-leaning,0.0
rep-d90-s2p,p08,defect-leaning,0.0
rep-d90-s2p,p09,cooperative-leaning,1.0
rep-d90-s2p,p10,cooperative-leaning,1.0
rep-d90-s2p,p11,cooperative-leaning,1.0
rep-d90-s2p,p12,defect-leaning,0.25
rep-d90-s2p,p13,cooperative-leaning,0.3333
rep-d90-s2p,p14,defect-leaning,0.0
rep-d90-s2p,p15,defect-leaning,0.5
rep-d90-s2p,p16,defect-leaning,0.0
os-swap,p01,cooperative-leaning,0.025
os-swap,p02,cooperative-leaning,0.1
os-swap,p03,cooperative-leaning,0.0
os-swap,p04,defect-leaning,0.0
os-swap,p05,cooperative-leaning,0.0
os-swap,p06,defect-leaning,0.0
os-swap,p07,defect-leaning,0.0
os-swap,p08,defect-leaning,0.0
os-swap,p09,cooperative-leaning,0.0
os-swap,p10,cooperative-leaning,0.0
os-swap,p11,cooperative-leaning,0.0
os-swap,p12,defect-leaning,0.0
os-swap,p13,cooperative-leaning,0.0
os-swap,p14,defect-leaning,0.0
os-swap,p15,defect-leaning,0.0
os-swap,p16,defect-leaning,0.0
os-community,p01,cooperative-leaning,1.0
os-community,p02,cooperative-leaning,0.125
os-community,p03,cooperative-leaning,1.0
os-community,p04,defect-leaning,0.0
os-community,p05,cooperative-leaning,0.975
os-community,p06,defect-leaning,0.0
os-community,p07,defect-leaning,0.0
os-community,p08,defect-leaning,0.0
os-community,p09,cooperative-leaning,1.0
os-community,p10,cooperative-leaning,0.0
os-community,p11,cooperative-leaning,1.0
os-community,p12,defect-leaning,0.0
os-community,p13,cooperative-leaning,0.4
os-community,p14,defect-leaning,0.0
os-community,p15,defect-leaning,0.15
os-community,p16,defect-leaning,0.0
