personaId,cell,temperature,episodes,meanRound1Coop,cpLo,cpHi,interior
bare,os-swap,1.0,20,0.025,0.0006,0.1316,0
bare,os-swap,1.3,20,0.025,0.0006,0.1316,0
bare,rep-d90-s2a,1.0,6,0.0,0.0,0.2646,0
bare,rep-d90-s2a,1.3,6,0.0,0.0,0.2646,0
bare,rep-d90-s2p,1.0,6,1.0,0.7354,1.0,0
bare,rep-d90-s2p,1.3,6,1.0,0.7354,1.0,0
p01,os-swap,0.7,20,0.025,0.0006,0.1316,0
p01,rep-d90-s2a,0.7,6,1.0,0.7354,1.0,0
p01,rep-d90-s2p,0.7,6,1.0,0.7354,1.0,0
p02,os-swap,0.7,20,0.1,0.0279,0.2366,0
p02,os-swap,1.0,20,0.15,0.0571,0.2984,1
p02,os-swap,1.3,20,0.225,0.1084,0.3845,1
p02,rep-d90-s2a,0.7,6,0.0,0.0,0.2646,0
p02,rep-d90-s2a,1.0,6,0.0833,0.0021,0.3848,0
p02,rep-d90-s2a,1.3,6,0.1667,0.0209,0.4841,0
p02,rep-d90-s2p,0.7,6,1.0,0.7354,1.0,0
p02,rep-d90-s2p,1.0,6,1.0,0.7354,1.0,0
p02,rep-d90-s2p,1.3,6,1.0,0.7354,1.0,0
p03,os-swap,0.7,20,0.0,0.0,0.0881,0
p03,rep-d90-s2a,0.7,6,1.0,0.7354,1.0,0
p03,rep-d90-s2p,0.7,6,1.0,0.7354,1.0,0
p04,os-swap,0.7,20,0.0,0.0,0.0881,0
p04,rep-d90-s2a,0.7,6,0.0,0.0,0.2646,0
p04,rep-d90-s2p,0.7,6,0.4167,0.1517,0.7233,1
p05,os-swap,0.7,20,0.0,0.0,0.0881,0
p05,rep-d90-s2a,0.7,6,0.5833,0.2767,0.8483,1
p05,rep-d90-s2p,0.7,6,0.5833,0.2767,0.8483,1
p06,os-swap,0.7,20,0.0,0.0,0.0881,0
p06,os-swap,1.0,20,0.0,0.0,0.0881,0
p06,os-swap,1.3,20,0.0,0.0,0.0881,0
p06,rep-d90-s2a,0.7,6,0.0,0.0,0.2646,0
p06,rep-d90-s2a,1.0,6,0.0,0.0,0.2646,0
p06,rep-d90-s2a,1.3,6,0.0,0.0,0.2646,0
p06,rep-d90-s2p,0.7,6,0.0,0.0,0.2646,0
p06,rep-d90-s2p,1.0,6,0.0,0.0,0.2646,0
p06,rep-d90-s2p,1.3,6,0.0,0.0,0.2646,0
p07,os-swap,0.7,20,0.0,0.0,0.0881,0
p07,rep-d90-s2a,0.7,6,0.5833,0.2767,0.8483,1
p07,rep-d90-s2p,0.7,6,0.0,0.0,0.2646,0
p08,os-swap,0.7,20,0.0,0.0,0.0881,0
p08,rep-d90-s2a,0.7,6,0.0,0.0,0.2646,0
p08,rep-d90-s2p,0.7,6,0.0,0.0,0.2646,0
p09,os-swap,0.7,20,0.0,0.0,0.0881,0
p09,rep-d90-s2a,0.7,6,1.0,0.7354,1.0,0
p09,rep-d90-s2p,0.7,6,1.0,0.7354,1.0,0
p10,os-swap,0.7,20,0.0,0.0,0.0881,0
p10,rep-d90-s2a,0.7,6,0.1667,0.0209,0.4841,0
p10,rep-d90-s2p,0.7,6,1.0,0.7354,1.0,0
p11,os-swap,0.7,20,0.0,0.0,0.0881,0
p11,os-swap,1.0,20,0.025,0.0006,0.1316,0
p11,os-swap,1.3,20,0.0,0.0,0.0881,0
p11,rep-d90-s2a,0.7,6,1.0,0.7354,1.0,0
p11,rep-d90-s2a,1.0,6,1.0,0.7354,1.0,0
p11,rep-d90-s2a,1.3,6,1.0,0.7354,1.0,0
p11,rep-d90-s2p,0.7,6,1.0,0.7354,1.0,0
p11,rep-d90-s2p,1.0,6,1.0,0.7354,1.0,0
p11,rep-d90-s2p,1.3,6,1.0,0.7354,1.0,0
p12,os-swap,0.7,20,0.0,0.0,0.0881,0
p12,rep-d90-s2a,0.7,6,0.0,0.0,0.2646,0
p12,rep-d90-s2p,0.7,6,0.25,0.0549,0.5719,1
p13,os-swap,0.7,20,0.0,0.0,0.0881,0
p13,rep-d90-s2a,0.7,6,0.75,0.4281,0.9451,1
p13,rep-d90-s2p,0.7,6,0.3333,0.0992,0.6511,1
p14,os-swap,0.7,20,0.0,0.0,0.0881,0
p14,rep-d90-s2a,0.7,6,0.0,0.0,0.2646,0
p14,rep-d90-s2p,0.7,6,0.0,0.0,0.2646,0
p15,os-swap,0.7,20,0.0,0.0,0.0881,0
p15,os-swap,1.0,20,0.0,0.0,0.0881,0
p15,os-swap,1.3,20,0.0,0.0,0.0881,0
p15,rep-d90-s2a,0.7,6,0.8333,0.5159,0.9791,0
p15,rep-d90-s2a,1.0,6,0.9167,0.6152,0.9979,0
p15,rep-d90-s2a,1.3,6,0.75,0.4281,0.9451,1
p15,rep-d90-s2p,0.7,6,0.5,0.2109,0.7891,1
p15,rep-d90-s2p,1.0,6,0.3333,0.0992,0.6511,1
p15,rep-d90-s2p,1.3,6,0.3333,0.0992,0.6511,1
p16,os-swap,0.7,20,0.0,0.0,0.0881,0
p16,rep-d90-s2a,0.7,6,0.0,0.0,0.2646,0
p16,rep-d90-s2p,0.7,6,0.0,0.0,0.2646,0
