personaId,leaning,cell,temperature,episodes,k,n,meanRound1Coop,cpLo,cpHi
p04,defect-leaning,rep-d10-s2p,0.7,6,7,12,0.5833,0.2767,0.8483
p04,defect-leaning,rep-d90-s2p,0.7,6,5,12,0.4167,0.1517,0.7233
p05,cooperative-leaning,rep-d10-s2a,0.7,6,6,12,0.5,0.2109,0.7891
p05,cooperative-leaning,rep-d90-s2a,0.7,6,7,12,0.5833,0.2767,0.8483
p05,cooperative-leaning,rep-d90-s2p,0.7,6,7,12,0.5833,0.2767,0.8483
p07,defect-leaning,rep-d90-s2a,0.7,6,7,12,0.5833,0.2767,0.8483
p12,defect-leaning,rep-d90-s2p,0.7,6,3,12,0.25,0.0549,0.5719
p13,cooperative-leaning,os-community,0.7,20,16,40,0.4,0.2486,0.5667
p13,cooperative-leaning,rep-d10-s2a,0.7,6,4,12,0.3333,0.0992,0.6511
p13,cooperative-leaning,rep-d90-s2a,0.7,6,9,12,0.75,0.4281,0.9451
p13,cooperative-leaning,rep-d90-s2p,0.7,6,4,12,0.3333,0.0992,0.6511
p15,defect-leaning,os-community,0.7,20,6,40,0.15,0.0571,0.2984
p15,defect-leaning,rep-d10-s2a,0.7,6,6,12,0.5,0.2109,0.7891
p15,defect-leaning,rep-d90-s2p,0.7,6,6,12,0.5,0.2109,0.7891
