personaId,leaning,temperature,refusalK,seats,refusalShare,cpLo,cpHi,wordChoiceK,wordChoiceShare
p01,cooperative-leaning,0.7,41,60,0.6833,0.5504,0.7974,19,0.3167
p02,cooperative-leaning,0.7,47,60,0.7833,0.658,0.8793,13,0.2167
p02,cooperative-leaning,1.0,34,40,0.85,0.7016,0.9429,6,0.15
p02,cooperative-leaning,1.3,31,40,0.775,0.6155,0.8916,9,0.225
p03,cooperative-leaning,0.7,40,40,1.0,0.9119,1.0,0,0.0
p04,defect-leaning,0.7,40,40,1.0,0.9119,1.0,0,0.0
p05,cooperative-leaning,0.7,40,40,1.0,0.9119,1.0,0,0.0
p06,defect-leaning,0.7,48,60,0.8,0.6767,0.8922,12,0.2
p06,defect-leaning,1.0,40,40,1.0,0.9119,1.0,0,0.0
p06,defect-leaning,1.3,40,40,1.0,0.9119,1.0,0,0.0
p07,defect-leaning,0.7,55,60,0.9167,0.8161,0.9724,5,0.0833
p08,defect-leaning,0.7,40,40,1.0,0.9119,1.0,0,0.0
p09,cooperative-leaning,0.7,44,60,0.7333,0.6034,0.8393,16,0.2667
p10,cooperative-leaning,0.7,40,40,1.0,0.9119,1.0,0,0.0
p11,cooperative-leaning,0.7,40,40,1.0,0.9119,1.0,0,0.0
p11,cooperative-leaning,1.0,39,40,0.975,0.8684,0.9994,1,0.025
p11,cooperative-leaning,1.3,40,40,1.0,0.9119,1.0,0,0.0
p12,defect-leaning,0.7,40,40,1.0,0.9119,1.0,0,0.0
p13,cooperative-leaning,0.7,50,60,0.8333,0.7148,0.9171,10,0.1667
p14,defect-leaning,0.7,52,60,0.8667,0.7541,0.9406,8,0.1333
p15,defect-leaning,0.7,40,40,1.0,0.9119,1.0,0,0.0
p15,defect-leaning,1.0,40,40,1.0,0.9119,1.0,0,0.0
p15,defect-leaning,1.3,40,40,1.0,0.9119,1.0,0,0.0
p16,defect-leaning,0.7,52,60,0.8667,0.7541,0.9406,8,0.1333
