clause,personaId,surface,temperature,registeredEligible,evaluable,nEpisodes_d90,nEpisodes_d10
a,p01,s2a,0.7,1,1,6,6
a,p01,s2a,1.0,1,0,0,0
a,p01,s2a,1.3,1,0,0,0
a,p01,s2p,0.7,1,1,6,6
a,p01,s2p,1.0,1,0,0,0
a,p01,s2p,1.3,1,0,0,0
a,p02,s2a,0.7,1,1,6,6
a,p02,s2a,1.0,1,0,6,0
a,p02,s2a,1.3,1,0,6,0
a,p02,s2p,0.7,1,1,6,6
a,p02,s2p,1.0,1,0,6,0
a,p02,s2p,1.3,1,0,6,0
a,p03,s2a,0.7,1,1,6,6
a,p03,s2a,1.0,1,0,0,0
a,p03,s2a,1.3,1,0,0,0
a,p03,s2p,0.7,1,1,6,6
a,p03,s2p,1.0,1,0,0,0
a,p03,s2p,1.3,1,0,0,0
a,p04,s2a,0.7,1,1,6,6
a,p04,s2a,1.0,1,0,0,0
a,p04,s2a,1.3,1,0,0,0
a,p04,s2p,0.7,1,1,6,6
a,p04,s2p,1.0,1,0,0,0
a,p04,s2p,1.3,1,0,0,0
a,p05,s2a,0.7,1,1,6,6
a,p05,s2a,1.0,1,0,0,0
a,p05,s2a,1.3,1,0,0,0
a,p05,s2p,0.7,1,1,6,6
a,p05,s2p,1.0,1,0,0,0
a,p05,s2p,1.3,1,0,0,0
a,p06,s2a,0.7,1,1,6,6
a,p06,s2a,1.0,1,0,6,0
a,p06,s2a,1.3,1,0,6,0
a,p06,s2p,0.7,1,1,6,6
a,p06,s2p,1.0,1,0,6,0
a,p06,s2p,1.3,1,0,6,0
a,p07,s2a,0.7,1,1,6,6
a,p07,s2a,1.0,1,0,0,0
a,p07,s2a,1.3,1,0,0,0
a,p07,s2p,0.7,1,1,6,6
a,p07,s2p,1.0,1,0,0,0
a,p07,s2p,1.3,1,0,0,0
a,p08,s2a,0.7,1,1,6,6
a,p08,s2a,1.0,1,0,0,0
a,p08,s2a,1.3,1,0,0,0
a,p08,s2p,0.7,1,1,6,6
a,p08,s2p,1.0,1,0,0,0
a,p08,s2p,1.3,1,0,0,0
a,p09,s2a,0.7,1,1,6,6
a,p09,s2a,1.0,1,0,0,0
a,p09,s2a,1.3,1,0,0,0
a,p09,s2p,0.7,1,1,6,6
a,p09,s2p,1.0,1,0,0,0
a,p09,s2p,1.3,1,0,0,0
a,p10,s2a,0.7,1,1,6,6
a,p10,s2a,1.0,1,0,0,0
a,p10,s2a,1.3,1,0,0,0
a,p10,s2p,0.7,1,1,6,6
a,p10,s2p,1.0,1,0,0,0
a,p10,s2p,1.3,1,0,0,0
a,p11,s2a,0.7,1,1,6,6
a,p11,s2a,1.0,1,0,6,0
a,p11,s2a,1.3,1,0,6,0
a,p11,s2p,0.7,1,1,6,6
a,p11,s2p,1.0,1,0,6,0
a,p11,s2p,1.3,1,0,6,0
a,p12,s2a,0.7,1,1,6,6
a,p12,s2a,1.0,1,0,0,0
a,p12,s2a,1.3,1,0,0,0
a,p12,s2p,0.7,1,1,6,6
a,p12,s2p,1.0,1,0,0,0
a,p12,s2p,1.3,1,0,0,0
a,p13,s2a,0.7,1,1,6,6
a,p13,s2a,1.0,1,0,0,0
a,p13,s2a,1.3,1,0,0,0
a,p13,s2p,0.7,1,1,6,6
a,p13,s2p,1.0,1,0,0,0
a,p13,s2p,1.3,1,0,0,0
a,p14,s2a,0.7,1,1,6,6
a,p14,s2a,1.0,1,0,0,0
a,p14,s2a,1.3,1,0,0,0
a,p14,s2p,0.7,1,1,6,6
a,p14,s2p,1.0,1,0,0,0
a,p14,s2p,1.3,1,0,0,0
a,p15,s2a,0.7,1,1,6,6
a,p15,s2a,1.0,1,0,6,0
a,p15,s2a,1.3,1,0,6,0
a,p15,s2p,0.7,1,1,6,6
a,p15,s2p,1.0,1,0,6,0
a,p15,s2p,1.3,1,0,6,0
a,p16,s2a,0.7,1,1,6,6
a,p16,s2a,1.0,1,0,0,0
a,p16,s2a,1.3,1,0,0,0
a,p16,s2p,0.7,1,1,6,6
a,p16,s2p,1.0,1,0,0,0
a,p16,s2p,1.3,1,0,0,0
b,p01,os-swap,0.7,1,1,,
b,p01,os-swap,1.0,1,0,,
b,p01,os-swap,1.3,1,0,,
b,p02,os-swap,0.7,1,1,,
b,p02,os-swap,1.0,1,1,,
b,p02,os-swap,1.3,1,1,,
b,p03,os-swap,0.7,1,1,,
b,p03,os-swap,1.0,1,0,,
b,p03,os-swap,1.3,1,0,,
b,p04,os-swap,0.7,1,1,,
b,p04,os-swap,1.0,1,0,,
b,p04,os-swap,1.3,1,0,,
b,p05,os-swap,0.7,1,1,,
b,p05,os-swap,1.0,1,0,,
b,p05,os-swap,1.3,1,0,,
b,p06,os-swap,0.7,1,1,,
b,p06,os-swap,1.0,1,1,,
b,p06,os-swap,1.3,1,1,,
b,p07,os-swap,0.7,1,1,,
b,p07,os-swap,1.0,1,0,,
b,p07,os-swap,1.3,1,0,,
b,p08,os-swap,0.7,1,1,,
b,p08,os-swap,1.0,1,0,,
b,p08,os-swap,1.3,1,0,,
b,p09,os-swap,0.7,1,1,,
b,p09,os-swap,1.0,1,0,,
b,p09,os-swap,1.3,1,0,,
b,p10,os-swap,0.7,1,1,,
b,p10,os-swap,1.0,1,0,,
b,p10,os-swap,1.3,1,0,,
b,p11,os-swap,0.7,1,1,,
b,p11,os-swap,1.0,1,1,,
b,p11,os-swap,1.3,1,1,,
b,p12,os-swap,0.7,1,1,,
b,p12,os-swap,1.0,1,0,,
b,p12,os-swap,1.3,1,0,,
b,p13,os-swap,0.7,1,1,,
b,p13,os-swap,1.0,1,0,,
b,p13,os-swap,1.3,1,0,,
b,p14,os-swap,0.7,1,1,,
b,p14,os-swap,1.0,1,0,,
b,p14,os-swap,1.3,1,0,,
b,p15,os-swap,0.7,1,1,,
b,p15,os-swap,1.0,1,1,,
b,p15,os-swap,1.3,1,1,,
b,p16,os-swap,0.7,1,1,,
b,p16,os-swap,1.0,1,0,,
b,p16,os-swap,1.3,1,0,,
