personaId,surface,temperature,gatePass,estimate,lb95_registeredMethod,method,lb95_newcombeFast,pOneSided
p01,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p01,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p02,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p02,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p03,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p03,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p04,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p04,s2p,0.7,1,-0.1667,-0.5,BCa(20260801),-0.4448,0.968
p05,s2a,0.7,1,0.0833,-0.1667,BCa(20260801),-0.2292,0.3744
p05,s2p,0.7,0,0.5833,0.012,exact,0.2909,0.0449
p06,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p06,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p07,s2a,0.7,0,0.4167,0.0833,BCa(20260801),0.0915,0.0172
p07,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p08,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p08,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p09,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p09,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p10,s2a,0.7,0,0.0833,-0.1667,BCa(20260801),-0.1606,0.6295
p10,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p11,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p11,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p12,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p12,s2p,0.7,0,0.0833,-0.1667,BCa(20260801),-0.1909,0.3817
p13,s2a,0.7,1,0.4167,0.0833,BCa(20260801),0.0825,0.0473
p13,s2p,0.7,0,0.25,-0.0833,BCa(20260801),-0.0287,0.2056
p14,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p14,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p15,s2a,0.7,0,0.3333,0.0833,BCa(20260801),0.017,0.0319
p15,s2p,0.7,0,0.5,-0.0537,exact,0.2174,0.0813
p16,s2a,0.7,0,0.0,-0.2646,exact,-0.184,1.0
p16,s2p,0.7,0,0.0,-0.2646,exact,-0.184,1.0
