level,persona,n_d10,n_d90,mean_d10,mean_d90,delta,lo95,hi95
s2a,p01,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2a,p02,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2a,p03,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2a,p04,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2a,p05,6,6,0.500000,0.583333,0.083333,-0.651222,0.733198
s2a,p06,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2a,p07,6,6,0.166667,0.583333,0.416667,-0.565549,0.912760
s2a,p08,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2a,p09,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2a,p10,6,6,0.083333,0.166667,0.083333,-0.641769,0.708664
s2a,p11,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2a,p12,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2a,p13,6,6,0.333333,0.750000,0.416667,-0.580565,0.927776
s2a,p14,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2a,p15,6,6,0.500000,0.833333,0.333333,-0.575524,0.855841
s2a,p16,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2a,aggregate,96,96,0.348958,0.432292,0.083333,-0.171118,0.329707
s2p,p01,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2p,p02,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2p,p03,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2p,p04,6,6,0.583333,0.416667,-0.166667,-0.790117,0.641247
s2p,p05,6,6,0.000000,0.583333,0.583333,-0.355697,0.866860
s2p,p06,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2p,p07,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2p,p08,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2p,p09,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2p,p10,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2p,p11,6,6,1.000000,1.000000,0.000000,-0.570813,0.570813
s2p,p12,6,6,0.166667,0.250000,0.083333,-0.673335,0.739058
s2p,p13,6,6,0.083333,0.333333,0.250000,-0.576046,0.774387
s2p,p14,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2p,p15,6,6,0.000000,0.500000,0.500000,-0.356219,0.785406
s2p,p16,6,6,0.000000,0.000000,0.000000,-0.570813,0.570813
s2p,aggregate,96,96,0.427083,0.505208,0.078125,-0.181043,0.329751
